"DPA_VALOR","DPA_ANIO","DPA_CANTON","DPA_DESCAN","DPA_PROVIN","DPA_DESPRO","Nombre de canton","Codigo","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","mean"
0,"2011","0101","CUENCA","01","AZUAY","CUENCA","0101",441230,449537,458046,466795,475769,484986,494459,504207,514235,524563,535624,546864,558127,569416,580706,591996,603269,614539,625775,636996,533856.95
0,"2011","0102","GIRON","01","AZUAY","GIRON","0102",13357,13331,13306,13283,13263,13244,13228,13213,13201,13192,13196,13197,13195,13187,13175,13157,13134,13107,13074,13037,13203.85
0,"2011","0103","GUALACEO","01","AZUAY","GUALACEO","0103",40776,41150,41531,41921,42321,42732,43153,43585,44029,44487,44994,45501,45997,46482,46954,47411,47855,48286,48702,49104,44848.55
0,"2011","0104","NABON","01","AZUAY","NABON","0104",16016,16070,16126,16184,16245,16309,16375,16444,16517,16593,16686,16777,16863,16943,17017,17084,17145,17201,17250,17292,16656.85
0,"2011","0105","PAUTE","01","AZUAY","PAUTE","0105",24421,24635,24855,25080,25310,25547,25790,26039,26295,26559,26853,27146,27432,27712,27983,28246,28500,28747,28985,29214,26767.45
0,"2011","0106","PUCARA","01","AZUAY","PUCARA","0106",10463,10462,10462,10464,10468,10473,10479,10487,10498,10510,10533,10554,10572,10586,10596,10601,10603,10601,10595,10584,10529.55
0,"2011","0107","SAN FERNANDO","01","AZUAY","SAN FERNANDO","0107",4203,4198,4193,4189,4185,4182,4180,4178,4177,4177,4181,4185,4187,4187,4186,4183,4179,4173,4165,4156,4182.2
0,"2011","0108","SANTA ISABEL","01","AZUAY","SANTA ISABEL","0108",17735,17879,18025,18176,18330,18488,18651,18818,18990,19167,19365,19563,19755,19943,20124,20298,20467,20630,20786,20935,19306.25
0,"2011","0109","SIGSIG","01","AZUAY","SIGSIG","0109",26048,26248,26453,26662,26878,27098,27326,27559,27799,28047,28326,28603,28873,29134,29387,29630,29864,30089,30304,30509,28241.85
0,"2011","0110","OÑA","01","AZUAY","O�A","0110",3414,3446,3479,3512,3546,3582,3618,3655,3693,3732,3775,3818,3861,3903,3943,3982,4020,4057,4093,4128,3762.85
0,"2011","0111","CHORDELEG","01","AZUAY","CHORDELEG","0111",11452,11615,11782,11953,12128,12307,12491,12680,12874,13074,13289,13507,13723,13938,14150,14360,14568,14773,14976,15176,13240.8
0,"2011","0112","EL PAN","01","AZUAY","EL PAN","0112",3266,3255,3243,3232,3222,3213,3203,3194,3187,3179,3175,3170,3164,3157,3149,3140,3129,3118,3105,3091,3179.6
0,"2011","0113","SEVILLA DE ORO","01","AZUAY","SEVILLA DE ORO","0113",5527,5588,5650,5713,5778,5845,5913,5983,6055,6130,6211,6292,6372,6451,6529,6604,6678,6751,6821,6890,6189.05
0,"2011","0114","GUACHAPALA","01","AZUAY","GUACHAPALA","0114",3304,3329,3355,3381,3408,3435,3463,3492,3522,3553,3588,3623,3656,3689,3720,3750,3780,3807,3834,3859,3577.4
0,"2011","0115","CAMILO PONCE ENRIQUEZ","01","AZUAY","CAMILO PONCE ENRIQUEZ","0115",14682,15390,16134,16919,17742,18608,19519,20481,21492,22557,23697,24895,26142,27441,28793,30204,31668,33191,34774,36423,24037.6
0,"2011","0201","GUARANDA","02","BOLIVAR","GUARANDA","0201",86259,87215,88199,89197,90223,91272,92343,93439,94570,95720,97124,98519,99897,101253,102586,103884,105153,106387,107590,108763,96979.65
0,"2011","0202","CHILLANES","02","BOLIVAR","CHILLANES","0202",19910,19713,19522,19332,19148,18969,18793,18621,18455,18292,18175,18053,17925,17792,17652,17504,17350,17189,17023,16850,18313.4
0,"2011","0203","CHIMBO","02","BOLIVAR","SAN JOSE DE CHIMBO","0203",15902,15958,16017,16076,16139,16205,16272,16341,16415,16490,16607,16719,16826,16926,17020,17106,17185,17257,17321,17378,16608
0,"2011","0204","ECHEANDIA","02","BOLIVAR","ECHEANDIA","0204",11579,11685,11794,11905,12019,12136,12255,12377,12503,12631,12791,12951,13107,13259,13408,13552,13692,13826,13956,14081,12775.35
0,"2011","0205","SAN MIGUEL","02","BOLIVAR","SAN MIGUEL","0205",28386,28385,28390,28394,28405,28419,28436,28457,28485,28514,28614,28705,28786,28856,28914,28957,28989,29006,29011,29004,28655.65
0,"2011","0206","CALUMA","02","BOLIVAR","CALUMA","0206",11672,11870,12074,12282,12495,12714,12937,13167,13404,13645,13926,14208,14490,14772,15054,15333,15610,15885,16158,16429,13906.25
0,"2011","0207","LAS NAVES","02","BOLIVAR","LAS NAVES","0207",5556,5635,5716,5798,5883,5970,6059,6149,6243,6339,6452,6564,6677,6788,6899,7008,7115,7221,7325,7428,6441.25
0,"2011","0301","AZOGUES","03","CAÑAR","AZOGUES","0301",68654,69120,69603,70098,70610,71136,71676,72233,72811,73407,74698,76003,77310,78615,79917,81212,82497,83770,85030,86276,75733.8
0,"2011","0302","BIBLIAN","03","CAÑAR","BIBLIAN","0302",21994,21967,21944,21924,21908,21895,21886,21880,21879,21883,22090,22296,22499,22697,22889,23074,23253,23423,23586,23741,22435.4
0,"2011","0303","CAÑAR","03","CAÑAR","CA�AR","0303",61699,61727,61766,61811,61870,61938,62015,62101,62202,62317,63012,63707,64394,65068,65729,66372,66996,67601,68185,68747,63962.85
0,"2011","0304","LA TRONCAL","03","CAÑAR","LA TRONCAL","0304",46550,47544,48569,49624,50710,51826,52976,54162,55385,56646,58477,60361,62288,64256,66266,68317,70401,72523,74678,76872,59421.55
0,"2011","0305","EL TAMBO","03","CAÑAR","EL TAMBO","0305",8703,8822,8945,9071,9200,9333,9468,9608,9751,9899,10143,10391,10643,10897,11153,11413,11673,11935,12198,12462,10285.4
0,"2011","0306","DELEG","03","CAÑAR","DELEG","0306",6608,6583,6558,6535,6513,6492,6472,6453,6435,6419,6463,6506,6548,6588,6626,6662,6695,6727,6755,6782,6571
0,"2011","0307","SUSCAL","03","CAÑAR","SUSCAL","0307",4663,4721,4781,4842,4905,4969,5034,5102,5172,5243,5365,5490,5615,5742,5870,5998,6128,6257,6387,6516,5440
0,"2011","0401","TULCAN","04","CARCHI","TULCAN","0401",81484,82348,83237,84152,85079,86041,87020,88030,89063,90127,91409,92686,93953,95201,96441,97664,98868,100057,101234,102395,91324.45
0,"2011","0402","BOLIVAR","04","CARCHI","BOLIVAR","0402",14758,14776,14797,14820,14844,14872,14902,14934,14969,15007,15079,15147,15211,15270,15325,15375,15420,15460,15496,15528,15099.5
0,"2011","0403","ESPEJO","04","CARCHI","ESPEJO","0403",14380,14328,14280,14234,14189,14148,14109,14072,14038,14006,14006,14003,13995,13982,13966,13944,13918,13888,13855,13817,14057.9
0,"2011","0404","MIRA","04","CARCHI","MIRA","0404",13775,13654,13535,13421,13308,13200,13093,12990,12890,12793,12726,12655,12581,12504,12423,12338,12250,12159,12066,11969,12816.5
0,"2011","0405","MONTUFAR","04","CARCHI","MONTUFAR","0405",30299,30449,30606,30770,30935,31110,31288,31474,31665,31865,32138,32404,32664,32913,33155,33388,33611,33825,34032,34229,32141
0,"2011","0406","SAN PEDRO DE HUACA","04","CARCHI","SAN PEDRO DE HUACA","0406",7256,7325,7396,7469,7543,7620,7698,7779,7862,7948,8052,8155,8258,8358,8458,8556,8652,8747,8840,8931,8045.15
0,"2011","0501","LATACUNGA","05","COTOPAXI","LATACUNGA","0501",151752,154302,156903,159562,162281,165060,167905,170814,173793,176842,179794,182748,185698,188627,191539,194423,197277,200094,202878,205624,178395.8
0,"2011","0502","LA MANA","05","COTOPAXI","LA MANA","0502",33690,34656,35650,36678,37738,38832,39962,41130,42335,43580,44824,46093,47383,48691,50019,51366,52728,54104,55496,56905,44593
0,"2011","0503","PANGUA","05","COTOPAXI","PANGUA","0503",21015,21205,21398,21594,21794,21998,22206,22418,22635,22856,23060,23259,23454,23642,23824,23997,24164,24321,24472,24612,22896.2
0,"2011","0504","PUJILI","05","COTOPAXI","PUJILI","0504",64123,64908,65706,66520,67350,68196,69060,69941,70842,71762,72632,73494,74345,75179,75998,76795,77573,78328,79062,79772,72079.3
0,"2011","0505","SALCEDO","05","COTOPAXI","SALCEDO","0505",54178,54828,55489,56163,56851,57551,58267,58996,59742,60504,61223,61935,62638,63326,64000,64657,65296,65917,66518,67100,60758.95
0,"2011","0506","SAQUISILI","05","COTOPAXI","SAQUISILI","0506",21912,22347,22792,23247,23714,24193,24683,25186,25702,26231,26749,27270,27793,28316,28839,29361,29881,30398,30913,31426,26547.65
0,"2011","0507","SIGCHOS","05","COTOPAXI","SIGCHOS","0507",22157,22229,22304,22379,22458,22539,22623,22708,22797,22888,22961,23027,23087,23140,23185,23220,23248,23266,23276,23277,22838.45
0,"2011","0601","RIOBAMBA","06","CHIMBORAZO","RIOBAMBA","0601",203700,206767,209910,213130,216424,219796,223250,226803,230437,234170,237406,240612,243760,246861,249891,252865,255766,258597,261360,264048,234777.65
0,"2011","0602","ALAUSI","06","CHIMBORAZO","ALAUSI","0602",45427,45466,45512,45562,45619,45682,45751,45828,45911,46003,45986,45954,45904,45838,45752,45647,45525,45385,45229,45054,45651.75
0,"2011","0603","COLTA","06","CHIMBORAZO","COLTA","0603",47468,47388,47314,47244,47182,47127,47077,47035,47000,46973,46836,46682,46512,46326,46121,45897,45658,45401,45129,44838,46560.4
0,"2011","0604","CHAMBO","06","CHIMBORAZO","CHAMBO","0604",11136,11259,11384,11513,11644,11778,11916,12057,12201,12349,12470,12588,12702,12812,12917,13019,13116,13208,13295,13378,12337.1
0,"2011","0605","CHUNCHI","06","CHIMBORAZO","CHUNCHI","0605",13240,13233,13228,13225,13223,13224,13226,13230,13236,13244,13221,13194,13162,13125,13083,13035,12982,12925,12862,12795,13134.65
0,"2011","0606","GUAMOTE","06","CHIMBORAZO","GUAMOTE","0606",36984,37929,38903,39909,40945,42012,43114,44253,45427,46640,47773,48920,50073,51233,52398,53571,54746,55924,57105,58291,47307.5
0,"2011","0607","GUANO","06","CHIMBORAZO","GUANO","0607",40022,40476,40942,41418,41904,42402,42911,43434,43969,44518,44969,45409,45835,46249,46646,47028,47394,47744,48078,48395,44487.15
0,"2011","0608","PALLATANGA","06","CHIMBORAZO","PALLATANGA","0608",11437,11495,11554,11616,11679,11743,11810,11879,11951,12024,12070,12112,12149,12182,12210,12233,12251,12265,12273,12277,11960.5
