"DPA_VAL","DPA_ANI","DPA_CAN","DPA_DESC","DPA_PRO","DPA_DESP","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020"
0,"2011","0101","CUENCA","01","AZUAY",635894,646133,656640,667464,678593,690049,701848,714015,726564,739520,753493,767695,781919,796169,810412,824646,838859,853070,867239,881394
0,"2011","0201","GUARANDA","02","BOLIVAR",179264,180461,181712,182984,184312,185685,187095,188551,190075,191631,193689,195719,197708,199646,201533,203344,205094,206771,208384,209933
0,"2011","0301","AZOGUES","03","CAÑAR",218871,220484,222166,223905,225716,227589,229527,231539,233635,235814,240248,244754,249297,253863,258450,263048,267643,272236,276819,281396
0,"2011","0401","TULCAN","04","CARCHI",161952,162880,163851,164866,165898,166991,168110,169279,170487,171746,173410,175050,176662,178228,179768,181265,182719,184136,185523,186869
0,"2011","0501","LATACUNGA","05","COTOPAXI",368827,374475,380242,386143,392186,398369,404706,411193,417846,424663,431243,437826,444398,450921,457404,463819,470167,476428,482615,488716
0,"2011","0601","RIOBAMBA","06","CHIMBORAZO",426127,431069,436161,441401,446789,452333,458039,463935,469998,476255,481498,486680,491753,496735,501584,506325,510935,515417,519777,524004
0,"2011","0701","MACHALA","07","EL ORO",555386,624072,633860,643628,584256,591950,599845,607959,616299,624860,634481,644000,653400,662671,671817,680845,689760,698545,707204,715751
0,"2011","0801","ESMERALDAS","08","ESMERALDAS",453084,462949,473051,483431,494091,505005,516231,527753,539572,551712,561605,571382,581010,590483,599777,608906,617851,626626,635227,643654
0,"2011","0901","GUAYAQUIL","09","GUAYAS",3235904,3290304,3346072,3403258,3461879,3522015,3583719,3647031,3712012,3778720,3840319,3901981,3963541,4024929,4086089,4146996,4207610,4267893,4327845,4387434
0,"2011","1001","IBARRA","10","IMBABURA",363048,368130,373338,378681,384137,389743,395498,401386,407435,413657,419919,426223,432543,438868,445175,451476,457737,463957,470129,476257
0,"2011","1101","LOJA","11","LOJA",428018,431787,435687,439740,443944,448329,452886,457614,462534,467671,473331,478964,484529,490039,495464,500794,506035,511184,516231,521154
0,"2011","1201","BABAHOYO","12","LOS RIOS",685534,697582,709927,722579,735546,748853,762484,776460,790808,805514,817676,829779,841767,853622,865340,876912,888351,899632,910770,921763
0,"2011","1301","PORTOVIEJO","13","MANABI",1252194,1268941,1286136,1303781,1321904,1340526,1359648,1379329,1399539,1420348,1436259,1451873,1467111,1481940,1496366,1510375,1523950,1537090,1549796,1562079
0,"2011","1401","MORONA","14","MORONA SANTIAGO",121258,124417,127667,131005,134437,137965,141598,145352,149206,153163,157551,161948,166345,170722,175074,179406,183728,188028,192301,196535
0,"2011","1501","TENA","15","NAPO",83089,85407,87801,90283,92833,95474,98194,101017,103933,106953,109514,112151,114805,117465,120144,122838,125538,128252,130976,133705
0,"2011","1601","PASTAZA","16","PASTAZA",64781,66864,69027,71279,73590,75992,78474,81047,83711,86470,89053,91699,94373,97093,99855,102655,105494,108365,111270,114202
0,"2011","1701","QUITO","17","PICHINCHA",2212150,2256902,2302972,2350432,2399327,2449745,2501735,2555387,2610755,2667953,2723509,2779370,2835373,2891472,2947627,3003799,3059971,3116111,3172200,3228233
0,"2011","1801","AMBATO","18","TUNGURAHUA",465601,471403,477356,483475,489756,496233,502883,509740,516779,524048,530655,537351,544090,550832,557563,564260,570933,577551,584114,590600
0,"2011","1901","ZAMORA","19","ZAMORA CHINCHIPE",80783,82221,83689,85212,86758,88353,89999,91691,93409,95194,97676,100170,102684,105213,107749,110296,112835,115368,117899,120416
0,"2011","2101","LAGO AGRIO","21","SUCUMBIOS",135290,139668,144212,148925,153823,158903,164183,169667,175358,181287,186072,190896,195759,200656,205586,210532,215499,220483,225481,230503
0,"2011","2201","ORELLANA","22","ORELLANA",90144,94442,98962,103725,108709,113968,119485,125280,131376,137786,140663,143421,146058,148573,150977,153269,155453,157520,159479,161338
0,"2011","2301","SANTO DOMINGO","23","SANTO DOMINGO DE LOS TSACHILAS",301395,309062,316954,325087,333458,342094,350986,360167,369621,379378,387229,395133,403063,411009,418957,426910,434849,442788,450694,458580
0,"2011","2401","SANTA ELENA","24","SANTA ELENA",247475,254383,261502,268856,276443,284281,292363,300709,309335,318247,326215,334276,342408,350624,358896,367235,375646,384102,392611,401178
0,"2011","9001","LAS GOLONDRINAS","90","ZONA NO DELIMITADA",28868,29358,29853,30368,30891,31432,31991,32566,33149,33754,34547,35348,36153,36967,37784,38607,39430,40255,41082,41907
