Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Best_Companies,Number_of_employees,MarketCap_March31_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated,Costs_M
1.0,Walmart,WMT,Retailing,General Merchandisers,yes,no,no,no,0.0,no,no,no,yes,no,2100000.0,397475.0,611289.0,6.7,11680.0,-14.6,243197.0,C. Douglas McMillon,U.S.,Bentonville,AR,www.stock.walmart.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",416986.0,2023-08-02,
2.0,Amazon,AMZN,Retailing,Internet Services and Retailing,no,no,no,no,0.0,no,no,no,yes,no,1541000.0,1058440.0,513983.0,9.4,-2722.0,-108.2,462675.0,Andrew R. Jassy,U.S.,Seattle,WA,www.amazon.com,Public,"Market value as of July 17, 2023.",1370373.0,2023-08-02,
3.0,Exxon Mobil,XOM,Energy,Petroleum Refining,yes,no,no,no,3.0,yes,no,no,yes,no,62000.0,446424.0,413680.0,44.8,55740.0,141.9,369067.0,Darren W. Woods,U.S.,Irving,TX,www.exxonmobil.com,Public,"Excise taxes have been deducted. Market value as of July 17, 2023.",409878.0,2023-08-02,
4.0,Apple,AAPL,Technology,"Computers, Office Equipment",yes,no,no,yes,-1.0,no,yes,no,yes,no,164000.0,2609039.0,394328.0,7.8,99803.0,5.4,352755.0,Timothy D. Cook,U.S.,Cupertino,CA,www.apple.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of July 17, 2023.",3051211.0,2023-08-02,
5.0,UnitedHealth Group,UNH,Health Care,Health Care: Insurance and Managed Care,yes,no,no,yes,0.0,no,no,no,yes,no,400000.0,440854.0,324162.0,12.7,20120.0,16.4,245705.0,Andrew P. Witty,U.S.,Minnetonka,MN,www.unitedhealthgroup.com,Public,"Market value as of July 17, 2023.",450694.0,2023-08-02,
6.0,CVS Health,CVS,Health Care,Health Care: Pharmacy and Other Services,yes,no,yes,yes,-2.0,no,yes,no,yes,no,259500.0,95422.0,322467.0,10.4,,-47.5,228275.0,Karen S. Lynch,U.S.,Woonsocket,RI,www.cvshealth.com,Public,"Market value as of July 17, 2023.",91242.0,2023-08-02,
7.0,Berkshire Hathaway,BRKA,Financials,Insurance: Property and Casualty (Stock),no,no,no,yes,0.0,no,no,no,yes,no,383000.0,675657.0,302089.0,9.4,-22819.0,-125.4,948452.0,Warren E. Buffett,U.S.,Omaha,NE,www.berkshirehathaway.com,Public,"Market value as of July 17, 2023.",752829.0,2023-08-02,
8.0,Alphabet,GOOGL,Technology,Internet Services and Retailing,yes,no,no,yes,0.0,no,no,no,yes,no,190234.0,1330201.0,282836.0,9.8,59972.0,-21.1,365264.0,Sundar Pichai,U.S.,Mountain View,CA,www.abc.xyz,Public,"Market value as of July 17, 2023.",1585270.0,2023-08-02,
9.0,McKesson,MCK,-,Wholesalers: Health Care,yes,no,no,no,0.0,no,no,no,yes,no,66500.0,48757.0,263966.0,10.8,1114.0,,63298.0,Brian S. Tyler,U.S.,Irving,TX,www.mckesson.com,Public,"Figures are for fiscal year ended March 31, 2023. Market value as of July 17, 2023.",55787.0,2023-08-02,
10.0,Chevron,CVX,Energy,Petroleum Refining,yes,no,no,yes,6.0,yes,no,no,yes,no,43846.0,311093.0,246252.0,51.6,,127.0,257709.0,Michael K. Wirth,U.S.,San Ramon,CA,www.chevron.com,Public,"Excise taxes have been deducted. Market value as of July 17, 2023.",290714.0,2023-08-02,210787.0
11.0,AmerisourceBergen,ABC,Health Care,Wholesalers: Health Care,yes,no,no,yes,-1.0,no,yes,no,yes,no,41500.0,32384.0,,11.5,1699.0,10.3,56561.0,Steven H. Collis,U.S.,Conshohocken,PA,www.amerisourcebergen.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of July 17, 2023.",38809.0,2023-08-02,
12.0,Costco Wholesale,COST,Retailing,General Merchandisers,yes,no,no,yes,-1.0,no,yes,no,yes,no,304000.0,220354.0,226954.0,15.8,5844.0,16.7,64166.0,W. Craig Jelinek,U.S.,Issaquah,WA,www.costco.com,Public,"Figures are for fiscal year ended Aug. 31, 2022. Market value as of July 17, 2023.",245043.0,2023-08-02,
13.0,Microsoft,MSFT,Technology,Computer Software,yes,no,no,yes,1.0,yes,no,no,yes,no,221000.0,2146049.0,198270.0,18.0,72738.0,18.7,364840.0,Satya Nadella,U.S.,Redmond,WA,www.microsoft.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of July 17, 2023.",2570671.0,2023-08-02,125532.0
14.0,Cardinal Health,CAH,Health Care,Wholesalers: Health Care,no,no,no,no,1.0,yes,no,no,yes,no,46035.0,19452.0,181364.0,11.6,,-252.7,43878.0,Jason Hollar,U.S.,Dublin,OH,www.cardinalhealth.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of July 17, 2023.",23797.0,2023-08-02,
15.0,Cigna,CI,Health Care,Health Care: Pharmacy and Other Services,yes,no,no,no,-3.0,no,yes,no,yes,no,70231.0,75901.0,180516.0,3.7,6668.0,24.3,143932.0,David M. Cordani,U.S.,Bloomfield,CT,www.thecignagroup.com,Public,"Market value as of July 17, 2023.",83187.0,2023-08-02,
16.0,Marathon Petroleum,MPC,Energy,Petroleum Refining,yes,no,no,yes,3.0,yes,no,no,yes,no,17800.0,59544.0,180012.0,27.6,14516.0,49.1,89904.0,Michael J. Hennigan,U.S.,Findlay,OH,www.marathonpetroleum.com,Public,"Includes revenues from discontinued operations. Excise taxes have been deducted. Market value as of July 17, 2023.",50121.0,2023-08-02,
17.0,Phillips 66,PSX,Energy,Petroleum Refining,yes,no,no,no,12.0,yes,no,no,yes,no,13000.0,46727.0,175702.0,53.0,11024.0,737.1,76442.0,Mark E. Lashier,U.S.,Houston,TX,www.phillips66.com,Public,"Excise taxes have been deducted. Market value as of July 17, 2023.",45649.0,2023-08-02,
18.0,Valero Energy,VLO,Energy,Petroleum Refining,yes,no,no,no,12.0,yes,no,no,yes,no,9743.0,51351.0,171189.0,58.0,11528.0,1139.6,60982.0,R. Lane Riggs,U.S.,San Antonio,TX,www.valero.com,Public,"Excise taxes have been deducted. Market value as of July 17, 2023.",41108.0,2023-08-02,
