latitud,longitud,precio,categoria
-34.6118,-58.4173,100,Alta
-34.6168,-58.4273,120,Media
-34.6218,-58.4373,90,Baja
-34.6018,-58.4073,110,Alta
-12.0464,-77.0428,130,Alta
-15.7833,-47.8667,90,Baja
-0.2299,-78.5249,105,Media
-33.4489,-70.6693,95,Baja
-2.1708,-79.9224,110,Alta
-16.5000,-68.1500,115,Alta
-22.9083,-43.1964,125,Media
-12.9716,-38.5013,85,Baja
-33.8568,-70.5721,105,Media
-25.2637,-57.5759,98,Baja
-34.9285,-57.9523,102,Media
-23.5505,-46.6333,115,Alta
-0.1807,-78.4678,105,Media
-23.6345,-46.6350,120,Alta
-27.5969,-48.5495,88,Baja
-7.2575,-35.8975,95,Baja
